100001WILLIAM MILLER                SUPERCAR V8         0040746000255000EXPIRED   20261104
100002MARY GONZALEZ                 COMPACT HATCHBACK   0099200000315200CANCELLED 20261123
100003WILLIAM GONZALEZ              ELECTRIC SEDAN      0130631000261000EXPIRED   20260323
100004EMILY LOPEZ                   SUV LUXURY          0111839000062600EXPIRED   20260104
100005PATRICIA WILSON               SUPERCAR V8         0115991000297900ACTIVE    20260622
100006EMILY MARTINEZ                SUV LUXURY          0140413000200300EXPIRED   20261028
100007EMILY BROWN                   SUPERCAR V8         0091796000280500ACTIVE    20261105
100008MICHAEL HERNANDEZ             COMPACT HATCHBACK   0041370000150400ACTIVE    20261011
100009CHARLES SMITH                 COMPACT HATCHBACK   0049228000374100EXPIRED   20260408
100010RICHARD JOHNSON               CROSSOVER V4        0127631000398800CANCELLED 20260212
100011JENNIFER JOHNSON              TRUCK DIESEL        0136240000327800ACTIVE    20261008
100012JENNIFER WILLIAMS             SUPERCAR V8         0046662000282400EXPIRED   20261110
100013SARAH JONES                   SUPERCAR V8         0121659000301600ACTIVE    20260218
100014DAVID ANDERSON                SPORTS COUPE        0054772000264400EXPIRED   20260204
100015WILLIAM MILLER                SPORTS COUPE        0058159000295500ACTIVE    20261213
100016MARY ANDERSON                 COMPACT HATCHBACK   0096369000328800ACTIVE    20260507
100017JOHN MILLER                   TRUCK DIESEL        0064007000106200ACTIVE    20260620
100018JANE GARCIA                   SPORTS COUPE        0024124000205900ACTIVE    20260311
100019JENNIFER DAVIS                TRUCK DIESEL        0020731000320900ACTIVE    20260812
100020JENNIFER MILLER               SPORTS COUPE        0122445000343700CANCELLED 20260523
100021WILLIAM MILLER                CROSSOVER V4        0095415000201300ACTIVE    20260525
100022WILLIAM WILLIAMS              SUPERCAR V8         0130061000090700ACTIVE    20260926
100023MARY MILLER                   SUV LUXURY          0060504000161000ACTIVE    20260718
100024WILLIAM HERNANDEZ             CROSSOVER V4        0090802000189800CANCELLED 20260810
100025SARAH GONZALEZ                CROSSOVER V4        0023077000188300ACTIVE    20261027
100026MICHAEL JOHNSON               CROSSOVER V4        0077948000139300ACTIVE    20260202
100027JOHN JONES                    ELECTRIC SEDAN      0097538000052000ACTIVE    20260618
100028JANE JOHNSON                  ELECTRIC SEDAN      0120887000058600ACTIVE    20260601
100029MICHAEL MARTINEZ              SPORTS COUPE        0061825000311800ACTIVE    20260822
100030SARAH JONES                   TRUCK DIESEL        0105009000144500EXPIRED   20260316
100031MICHAEL JONES                 CROSSOVER V4        0024835000276600CANCELLED 20260109
100032SARAH HERNANDEZ               SPORTS COUPE        0119458000350800EXPIRED   20261206
100033EMILY JONES                   SUPERCAR V8         0104878000301200CANCELLED 20260125
100034DAVID JOHNSON                 CROSSOVER V4        0051131000250900ACTIVE    20260427
100035LAURA MILLER                  ELECTRIC SEDAN      0058816000063100ACTIVE    20260706
100036WILLIAM LOPEZ                 SUPERCAR V8         0129257000260000EXPIRED   20260508
